Series Name,Series Code,Country Name,Country Code,2017 [YR2017]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Thailand,THA,7.559
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Timor-Leste,TLS,6.05
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Togo,TGO,8.568
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tonga,TON,7.194
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Trinidad and Tobago,TTO,8.261
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tunisia,TUN,6.274
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkey,TUR,5.394
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turkmenistan,TKM,7.057
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Turks and Caicos Islands,TCA,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Tuvalu,TUV,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uganda,UGA,6.769
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Ukraine,UKR,14.5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Arab Emirates,ARE,1.429
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United Kingdom,GBR,9.2
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,United States,USA,8.638
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Upper middle income,UMC,7.25103675093049
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uruguay,URY,9.461
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Uzbekistan,UZB,5
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vanuatu,VUT,5.334
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Venezuela, RB",VEN,6.814
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Vietnam,VNM,6.253
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Virgin Islands (U.S.),VIR,7.7
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,West Bank and Gaza,PSE,3.469
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,World,WLD,7.53157941146638
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,"Yemen, Rep.",YEM,5.978
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zambia,ZMB,6.633
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Zimbabwe,ZWE,8.044
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 04/27/2022,,,,
